,date,parks,away,home,homewin,etcs,times,day,visit,place,number_audience
114,2018/04/12,대구,두산,삼성,lose,-, 18:30 ,목,두산,대구,6283
115,2018/04/17,사직,삼성,롯데,lose,-, 18:30 ,화,삼성,사직,9213
116,2018/04/18,사직,삼성,롯데,win,-, 18:30 ,수,삼성,사직,8428
117,2018/04/19,사직,삼성,롯데,lose,-, 18:30 ,목,삼성,사직,9379
118,2018/04/20,대구,KT,삼성,lose,-, 18:30 ,금,KT,대구,7466
119,2018/04/21,대구,KT,삼성,win,-, 17:00 ,토,KT,대구,16454
120,2018/04/22,대구,KT,삼성,lose,-, 14:00 ,일,KT,대구,9026
121,2018/04/24,대구,NC,삼성,win,-, 18:30 ,화,NC,대구,3216
122,2018/04/25,대구,NC,삼성,lose,-, 18:30 ,수,NC,대구,5371
123,2018/04/26,대구,NC,삼성,lose,-, 18:30 ,목,NC,대구,7705
124,2018/04/27,잠실,삼성,LG,win,-, 18:30 ,금,삼성,잠실,15885
125,2018/04/28,잠실,삼성,LG,win,-, 17:00 ,토,삼성,잠실,23380
126,2018/04/29,잠실,삼성,LG,lose,-, 14:00 ,일,삼성,잠실,21031
127,2018/04/01,사직,NC,롯데,win,-, 14:00 ,일,NC,사직,19432
128,2018/04/06,사직,LG,롯데,lose,-, 18:30 ,금,LG,사직,8814
129,2018/04/07,사직,LG,롯데,win,-, 17:00 ,토,LG,사직,14498
130,2018/04/08,사직,LG,롯데,lose,-, 14:00 ,일,LG,사직,13093
131,2018/04/24,수원,롯데,KT,lose,-, 18:30 ,화,롯데,수원,5429
132,2018/04/25,수원,롯데,KT,lose,-, 18:30 ,수,롯데,수원,6922
133,2018/04/26,수원,롯데,KT,win,-, 18:30 ,목,롯데,수원,7023
134,2018/04/01,수원,두산,KT,win,-, 14:00 ,일,두산,수원,16137
135,2018/04/03,잠실,LG,두산,win,-, 18:30 ,화,LG,잠실,13557
136,2018/04/04,잠실,LG,두산,win,-, 18:30 ,수,LG,잠실,12742
137,2018/04/07,잠실,NC,두산,win,-, 17:00 ,토,NC,잠실,16586
138,2018/04/08,잠실,NC,두산,win,-, 14:00 ,일,NC,잠실,13877
139,2018/04/27,마산,두산,NC,lose,-, 18:30 ,금,두산,마산,8331
140,2018/04/28,마산,두산,NC,win,-, 17:00 ,토,두산,마산,10058
141,2018/04/29,마산,두산,NC,lose,-, 14:00 ,일,두산,마산,9075
142,2018/04/13,잠실,KT,LG,win,-, 18:30 ,금,KT,잠실,10899
143,2018/04/14,잠실,KT,LG,win,-, 17:00 ,토,KT,잠실,12862
144,2018/04/15,잠실,KT,LG,win,-, 14:00 ,일,KT,잠실,15336
145,2018/04/20,마산,LG,NC,lose,-, 18:30 ,금,LG,마산,7357
146,2018/04/21,마산,LG,NC,lose,-, 17:00 ,토,LG,마산,8767
147,2018/04/22,마산,LG,NC,lose,-, 14:00 ,일,LG,마산,6242
148,2018/04/10,마산,KT,NC,lose,-, 18:30 ,화,KT,마산,6010
149,2018/04/11,마산,KT,NC,lose,-, 18:30 ,수,KT,마산,5393
150,2018/04/12,마산,KT,NC,lose,-, 18:30 ,목,KT,마산,5855
151,2018/05/01,대구,SK,삼성,lose,-, 18:30 ,화,SK,대구,6764
152,2018/05/02,대구,SK,삼성,lose,-, 18:30 ,수,SK,대구,3531
153,2018/05/03,대구,SK,삼성,win,-, 18:30 ,목,SK,대구,4760
154,2018/05/04,문학,롯데,SK,win,-, 18:30 ,금,롯데,문학,17628
155,2018/05/05,문학,롯데,SK,lose,-, 14:00 ,토,롯데,문학,25000
156,2018/05/08,마산,SK,NC,win,-, 18:30 ,화,SK,마산,4068
157,2018/05/09,마산,SK,NC,lose,-, 18:30 ,수,SK,마산,4484
158,2018/05/10,마산,SK,NC,lose,-, 18:30 ,목,SK,마산,7718
159,2018/05/11,문학,LG,SK,lose,-, 18:30 ,금,LG,문학,15870
160,2018/05/13,문학,LG,SK,win,-, 14:00 ,일,LG,문학,24496
161,2018/05/15,잠실,SK,두산,win,-, 18:30 ,화,SK,잠실,13222
162,2018/05/16,잠실,SK,두산,win,-, 18:30 ,수,SK,잠실,7119
163,2018/05/18,광주,SK,KIA,win,-, 18:30 ,금,SK,광주,12637
164,2018/05/19,광주,SK,KIA,win,-, 17:00 ,토,SK,광주,20500
165,2018/05/20,광주,SK,KIA,win,-, 14:00 ,일,SK,광주,20500
166,2018/05/22,문학,넥센,SK,lose,-, 14:00 ,화,넥센,문학,19616
167,2018/05/23,문학,넥센,SK,win,-, 18:30 ,수,넥센,문학,7582
168,2018/05/24,문학,넥센,SK,win,-, 18:30 ,목,넥센,문학,6856
169,2018/05/25,문학,한화,SK,win,-, 18:30 ,금,한화,문학,22889
170,2018/05/26,문학,한화,SK,win,-, 17:00 ,토,한화,문학,25000
171,2018/05/27,문학,한화,SK,lose,-, 14:00 ,일,한화,문학,25000
172,2018/05/30,잠실,SK,두산,win,-, 18:30 ,수,SK,잠실,12382
173,2018/05/31,잠실,SK,두산,win,-, 18:30 ,목,SK,잠실,12412
174,2018/05/01,대전,LG,한화,win,-, 18:30 ,화,LG,대전,12449
175,2018/05/02,대전,LG,한화,win,-, 18:30 ,수,LG,대전,6171
176,2018/05/03,대전,LG,한화,win,-, 18:30 ,목,LG,대전,9680
177,2018/05/04,대구,한화,삼성,lose,-, 18:30 ,금,한화,대구,11094
178,2018/05/05,대구,한화,삼성,win,-, 14:00 ,토,한화,대구,21291
179,2018/05/08,고척,한화,넥센,lose,-, 18:30 ,화,한화,고척,6875
180,2018/05/09,고척,한화,넥센,lose,-, 18:30 ,수,한화,고척,7983
